center_id,sku,model,diopter,cyl,stock_class,forecasted_units,safety_stock,target_units,current_stock,excess_stock,less_stock
OCNH,PC545_22,PC545,22,NA,Mainstream,23,8,31,19,0,12
OCNH,PC545_21,PC545,21,NA,Mainstream,21,7,28,21,0,7
OCNH,PC545_21.5,PC545,21.5,NA,Mainstream,21,7,28,23,0,5
OCNH,PC545_22.5,PC545,22.5,NA,Mainstream,21,7,28,21,0,7
OCNH,PC545_20.5,PC545,20.5,NA,Mainstream,20,7,27,27,0,0
OCNH,PC545_20,PC545,20,NA,Mainstream,19,7,26,21,0,5
OCNH,PC545_23,PC545,23,NA,Mainstream,19,7,26,20,0,6
OCNH,PC545_19,PC545,19,NA,Mainstream,16,5,21,20,0,1
OCNH,PC545_19.5,PC545,19.5,NA,Mainstream,15,5,20,23,3,0
OCNH,PC545_18.5,PC545,18.5,NA,Mainstream,14,5,19,14,0,5
OCNH,PC545_23.5,PC545,23.5,NA,Mainstream,12,4,16,14,0,2
OCNH,PC545_18,PC545,18,NA,Mainstream,10,3,13,20,7,0
OCNH,PC545_24,PC545,24,NA,Mainstream,10,3,13,16,3,0
OCNH,PC545_17.5,PC545,17.5,NA,Mainstream,9,3,12,30,18,0
OCNH,PC545_24.5,PC545,24.5,NA,Mainstream,8,3,11,12,1,0
OCNH,PC545_25,PC545,25,NA,Mainstream,8,3,11,12,1,0
OCNH,PC545_17,PC545,17,NA,Average,7,2,9,11,2,0
OCNH,PC545_16.5,PC545,16.5,NA,Average,6,2,8,7,0,1
OCNH,PC545_25.5,PC545,25.5,NA,Average,6,2,8,10,2,0
OCNH,PC545_15,PC545,15,NA,Average,4,1,5,7,2,0
OCNH,PC545_15.5,PC545,15.5,NA,Average,4,1,5,7,2,0
OCNH,PC545_14,PC545,14,NA,Average,3,1,4,7,3,0
OCNH,PC545_14.5,PC545,14.5,NA,Average,3,1,4,5,1,0
OCNH,PC545_16,PC545,16,NA,Average,3,1,4,7,3,0
OCNH,PC545_26,PC545,26,NA,Average,3,1,4,11,7,0
OCNH,PC545_26.5,PC545,26.5,NA,Average,3,1,4,6,2,0
OCNH,PC545_27,PC545,27,NA,Average,2,1,3,6,3,0
OCNH,PC545_12.5,PC545,12.5,NA,Tail/Backups,1,1,2,5,3,0
OCNH,PC545_13,PC545,13,NA,Tail/Backups,1,1,2,7,5,0
OCNH,PC545_13.5,PC545,13.5,NA,Tail/Backups,1,1,2,4,2,0
OCNH,PC545_27.5,PC545,27.5,NA,Tail/Backups,1,1,2,4,2,0
OCNH,PC545_28,PC545,28,NA,Tail/Backups,1,1,2,5,3,0
OCNH,PC545_28.5,PC545,28.5,NA,Tail/Backups,1,1,2,4,2,0
OCNH,PC545_29,PC545,29,NA,Tail/Backups,1,1,2,4,2,0
OCNH,PC545_29.5,PC545,29.5,NA,Tail/Backups,1,1,2,8,6,0
OCNH,PC545_31,PC545,31,NA,Tail/Backups,1,1,2,6,4,0
OCNH,PC545_5,PC545,5,NA,Tail/Backups,0,0,0,3,3,0
OCNH,PC545_6,PC545,6,NA,Tail/Backups,0,0,0,3,3,0
OCNH,PC545_7,PC545,7,NA,Tail/Backups,0,0,0,6,6,0
OCNH,PC545_8,PC545,8,NA,Tail/Backups,0,0,0,4,4,0
OCNH,PC545_9,PC545,9,NA,Tail/Backups,0,0,0,4,4,0
OCNH,PC545_10,PC545,10,NA,Tail/Backups,0,0,0,6,6,0
OCNH,PC545_10.5,PC545,10.5,NA,Tail/Backups,0,0,0,7,7,0
OCNH,PC545_11,PC545,11,NA,Tail/Backups,0,0,0,7,7,0
OCNH,PC545_11.5,PC545,11.5,NA,Tail/Backups,0,0,0,3,3,0
OCNH,PC545_12,PC545,12,NA,Tail/Backups,0,0,0,4,4,0
OCNH,PC545_30,PC545,30,NA,Tail/Backups,0,0,0,6,6,0
OCNH,PC545_32,PC545,32,NA,Tail/Backups,0,0,0,4,4,0
OCNH,PC545_33,PC545,33,NA,Tail/Backups,0,0,0,4,4,0
OCNH,PC545_34,PC545,34,NA,Tail/Backups,0,0,0,4,4,0
OCNH,PC545_35,PC545,35,NA,Tail/Backups,0,0,0,3,3,0
